"id","zip_code","municipality","county","lat","lng","locality","locations"
35481,11255,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500005,500013,600071,600072}"
35482,11256,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600071,600044}"
35483,11257,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600071}"
35484,11258,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600071,600044}"
35485,11259,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600102,600071,600070,600044}"
35486,11260,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,500013,600073,600053,600044}"
35487,11261,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600073}"
35488,11262,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600071,600073,600044}"
35489,11263,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600073}"
35490,11264,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500005,500009,500013,600071,600037,600046,600025,600069,600073}"
35491,11265,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,500005,600046,600073,600032,600025}"
35492,11266,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013,600025}"
35493,11267,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,500009,500013,600025,600037,600073,600053}"
35494,11269,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500013}"
35495,11320,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35496,11321,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35497,11322,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35498,11323,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35499,11324,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35500,11325,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35501,11326,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35502,11327,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35503,11328,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35504,11329,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35505,11330,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35506,11331,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35507,11332,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35508,11333,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35509,11334,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,440016,500001,600012}"
35510,11335,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35511,11336,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35512,11337,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35513,11338,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35514,11339,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35515,11340,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,400020,500001,600012}"
35516,11341,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35517,11342,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
