"id","created","modified","rating","text","venueid","venuename","agentid","agentname","invite_id"
316055,"2018-03-03 14:49:59.78","2018-03-03 14:50:35.185",5,"Top notch                                                                                                                       



           ",3450172,"Skandiamäklarna Järfälla",240,"Gülsen Tekbas Kibar",1729602
316113,"2018-03-03 20:35:27.466","2018-03-03 20:35:35.185",5,"Hon kunde fånga det jag själv fastande för då vi köpte bostaden och lyfta fram det vid försäljningen. Hon såg möjligheterna .",3549979,"HusmanHagberg Täby",5226,"Febe Thulin",1704713
316078,"2018-03-03 16:59:17.872","2018-03-03 16:59:35.761",5,"Mäklaren var glad och trevlig, strukturerad och effektiv. 
När/om jag skulle köpa eller sälja igen kommer jag att vända mej till samma mäklare.",574903,"Mäklarcity ",,,1730103
316086,"2018-03-03 17:47:33.979","2018-03-03 17:47:35.143",5,"Har nyss gjort mitt första husköp med hjälp av Tove Hörnblad.
Hade otur och fick en handläggare på banken som inte gav rätt information till mig då jag ansökte om bolånet.
Efter det så blev det samtal och email med två andra handläggare....
Fick det till slut beviljat efter kravet på att inflyttningsdatumet skulle ändras - två gånger ändrades datumet.
Jag kände mig rent ut sagt dum, då jag var tvungen att meddela detta till köparen, då jag anser att om man har bestämt något som är så viktigt så ska man hålla det.
Oavsett så har jag alltid varit en som håller det jag lovar, eftersom banken krånglade så var det utom min kontroll.
Men denna fantastiska kvinna, Tove Hörnblad, var under hela processen lugn, tålmodig, vänlig, professionell, tillgänglig och positiv. Hon lugnade ned mig och allt är nu färdigt.
Rekommenderar Tove starkt och önskar henne all lycka i framtiden!
Tack bästa Tove!
Stor kram / Janne Lehtinen",3549962,"HusmanHagberg Haninge Västerhaninge",4911,"Tove Hörnblad",1707728
316114,"2018-03-03 21:21:52.355","2018-03-03 21:22:35.14",5,"Jag fick ett väldigt gott intryck av Malin Westermark. Hon var väldigt proffessionell i sitt bemötande och uppfyllde väl de förväntningar jag hade på henne. Det kändes väldigt tryggt och bra att just hon skötte min husaffär. ",3549438,"Svenska Mäklarhuset Järfälla",1992,"Malin Westermark",1726468
316120,"2018-03-03 22:19:45.32","2018-03-03 22:19:49.358",5,"Trevlig, seriös och gav ett lugnt och säkert intryck. ",1752480,"HusmanHagberg Vasastan",1696,"Victor Sjölund",1713158
316093,"2018-03-03 18:27:49.778","2018-03-03 18:28:35.757",5,"Väldigt nöjd med Mäklarcity, både som köpare och som säljare. ",574903,"Mäklarcity ",,,1730133
316125,"2018-03-04 00:32:18.66","2018-03-04 00:32:35.38",4,"Trevlig och professionell. Verkade ha god kunskap om marknaden. ",574903,"Mäklarcity ",,,1730034
316132,"2018-03-04 07:41:19.07","2018-03-04 07:41:35.53",5,"Det var ett trevligt, korrekt och ärligt!",574903,"Mäklarcity ",,,1730071
316134,"2018-03-04 07:54:47.178","2018-03-04 07:54:48.736",5,"Glatt, trevligt och personligt möte.
Bryr sig om både säljare och köpare. ",772106,"HusmanHagberg Enskede",582,"Emil Cronholm",1729428
316147,"2018-03-04 08:31:54.719","2018-03-04 08:32:35.236",5,"Ett mycket proffsigt bemötande av byrån med mäklaren i fokus. Såväl starkt affärsmässigt tänkande som hög kundservicenivå hos mäklaren. 
Har rekommenderat affärsbekanta och vänner att ta hjälp av Hans.",574903,"Mäklarcity ",,,1730190
316153,"2018-03-04 08:58:16.079","2018-03-04 08:58:35.335",5,"Bra, professionellt bemötande. Trevligt sätt som gjorde att vi kände att vi kunde lita helt och hållet på mäklaren.",574903,"Mäklarcity ",,,1730091
316157,"2018-03-04 09:08:34.743","2018-03-04 09:08:49.936",5,"Trevlig, kunnig och engagerad mäklare. Proffsigt och samtidigt personligt.
Mycket nöjd.",4013489,"HusmanHagberg Norrköping",,,1729299
316181,"2018-03-04 10:28:03.982","2018-03-04 10:28:49.472",5,"Vi upplever Michael som seriös, professionell och proaktiv. Han var engagerad under förberedelserna inför vår försäljning utan att för den delen hetsa; processen fick ta sin tid och vi är nöjda med resultatet. Bra på att kommunicera och återkoppla, flexibel när extravisningar blev aktuella med kort varsel och på udda tider. Rekommenderas!",1565352,"Svenska Mäklarhuset Kungsholmen",3057,"Michael Schlumpf",1712236
